formula,synonym,description
Al2F6,aluminium fluoride,"Aluminium fluoride is an inorganic compound with the formula AlF3. It forms hydrates AlF3·xH2O. Anhydrous AlF3 and its hydrates are all colorless solids. Anhydrous AlF3 is used in the production of aluminium metal. Several occur as minerals.
"
Al2I6,aluminium iodide,"Aluminium iodide  is a chemical compound containing aluminium and iodine.  Invariably, the name refers to a compound of the composition AlI3, formed by the reaction of aluminium and iodine or the action of HI on Al metal.  The hexahydrate is obtained from a reaction between metallic aluminum or aluminum hydroxide with hydrogen iodide or hydroiodic acid.  Like the related chloride and bromide, AlI3 is a strong Lewis acid and will absorb water from the atmosphere.  It is employed as a reagent for the scission of certain kinds of C-O and N-O bonds. It cleaves aryl ethers and deoxygenates epoxides.
"
Al2MgO4,magnesium aluminium oxide,"Spinel (/spɪˈnɛl, ˈspɪnəl/) is the magnesium/aluminium member of the larger spinel group of minerals. It has the formula MgAl2O4 in the cubic crystal system. Its name comes from the Latin word spinella, a diminutive form of spine, in reference to its pointed crystals.
"
Al2O,dialuminium monoxide,NO DESCRIPTION
Al2O2,dialuminium dioxide,NO DESCRIPTION
Al2O3,aluminium oxide,"Aluminium oxide (or aluminium(III) oxide) is a chemical compound of aluminium and oxygen with the chemical formula Al2O3. It is the most commonly occurring of several aluminium oxides, and specifically identified as aluminium oxide. It is commonly called alumina and may also be called aloxide, aloxite, or alundum in various forms and applications. It occurs naturally in its crystalline polymorphic phase α-Al2O3 as the mineral corundum, varieties of which form the precious gemstones ruby and sapphire.  Al2O3 is significant in its use to produce aluminium metal, as an abrasive owing to its hardness, and as a refractory material owing to its high melting point.
"
Al2O5Si,aluminium silicate,"Aluminum silicate (or aluminium silicate) is a name commonly applied to chemical compounds which are derived from aluminium oxide, Al2O3 and silicon dioxide, SiO2 which may be anhydrous or hydrated, naturally occurring as minerals or synthetic. Their chemical formulae are often expressed as xAl2O3·ySiO2·zH2O. It is known as E number E559.
"
Al2Cl9K3,potassium aluminium chloride,NO DESCRIPTION
AmCl3,Americium(III) chloride,"Americium(III) chloride or americium trichloride is the chemical compound composed of americium and chlorine with the formula AmCl3. This salt forms pink hexagonal crystals. 
In the solid state each americium atom has nine chlorine atoms as near neighbours, at approximately the same distance, in a tricapped trigonal prismatic configuration.
"
AlCl3,Aluminium chloride,"Aluminium chloride, also known as aluminium trichloride, is an inorganic compound with the formula AlCl3. It forms a hexahydrate  with the formula [Al(H2O)6]Cl3, containing six water molecules of hydration. Both the anhydrous form and the hexahydrate are colourless crystals, but samples are often contaminated with iron(III) chloride, giving them a yellow colour.
"
AcCl3,Actinium(III) chloride,"Actinium(III) chloride is a chemical compound containing the rare radioactive element actinium. This salt has the formula AcCl3. Molecular weight of the compound is 333.378 g/mol.
"
As4S3,dimorphite,"Dimorphite, chemical name arsenic sesquisulfide (As4S3), is a very rare orange-yellow arsenic sulfide mineral. In nature, dimorphite forms primarily by deposition in volcanic fumaroles at temperatures of 70–80 °C (158–176 °F).  Dimorphite was first discovered in such a fumarole near Naples, Italy in 1849 by the mineralogist Arcangelo Scacchi (1810–1893). Since its discovery, dimorphite has been found in the Alacrán silver mine near Copiapó, Chile.  It has also been reported from Cerro de Pasco, Peru, and the Lavrion District Mines in Attica, Greece.
"
As4S4,realgar,"Realgar (/riˈælɡɑːr, -ɡər/ ree-AL-gar, -⁠gər), also known as ""ruby sulphur"" or ""ruby of arsenic"", is an arsenic sulfide mineral with the chemical formula α-As4S4. It is a soft, sectile mineral occurring in monoclinic crystals, or in granular, compact, or powdery form, often in association with the related mineral, orpiment (As2S3). It is orange-red in color, melts at 320 °C, and burns with a bluish flame releasing fumes of arsenic and sulfur. Realgar is soft with a Mohs hardness of 1.5 to 2 and has a specific gravity of 3.5. Its streak is orange colored. It is trimorphous with pararealgar and bonazziite.
"
AuB,Borylgold,NO DESCRIPTION
AuBO,gold monoboride monoxide,NO DESCRIPTION
AuBr,gold bromide,"Gold(I) bromide can be formed by synthesis from the elements or partial decomposition of gold(III) bromide by careful control of temperatures and pressures.
"
AuBr3,gold tribromide,"Gold(III) bromide is a dark-red to black crystalline solid. It has the empirical formula AuBr3, but exists primarily as a dimer with the molecular formula Au2Br6 in which two gold atoms are bridged by two bromine atoms. It is commonly referred to as gold(III) bromide, gold tribromide, and rarely but traditionally auric bromide, and sometimes as digold hexabromide. As is similar with the other gold halides, this compound is unique for being a coordination complex of a group 11 transition metal that is stable in an oxidation state of +3 whereas copper or silver complexes persist in oxidation states of +1 or +2.
"
AuCN,gold cyanide,"Gold(I) cyanide is the inorganic compound with the chemical formula AuCN.  It is the binary cyanide of gold(I). It is an odourless, tasteless yellow solid. Wet gold(I) cyanide is unstable to light and will become greenish. Gold(I) cyanide itself is only of academic interest, but its derivative dicyanoaurate is an intermediate in gold cyanidation, the extraction of gold from its ores.
"
AuCl,gold chloride,"Gold(I) chloride is a compound of gold and chlorine with the chemical formula AuCl.
"
As4O5,tetraarsenic pentaoxide,NO DESCRIPTION
AuCl3,gold trichloride,"Gold(III) chloride, traditionally called auric chloride, is an inorganic compound of gold and chlorine with the molecular formula Au2Cl6. The ""III"" in the name indicates that the gold has an oxidation state of +3, typical for many gold compounds. It has two forms, the monohydrate (AuCl3·H2O) and the anhydrous form, which are both hygroscopic and light-sensitive solids. This compound is a dimer of AuCl3. This compound has a few uses, such as an oxidizing agent and for catalyzing various organic reactions.
"
AuI,gold iodide,"Gold monoiodide is the inorganic compound of gold and iodine with the formula AuI. It can be synthesized by dissolving gold powder in an aqueous solution of iodine and potassium iodide. With Lewis bases, AuI reacts to give numerous complexes.
"
AuI3,gold(III) iodide,"Gold iodide is the chemical compound with the formula AuI3. Although Au2I6 is predicted to be stable, gold(III) iodide remains an example of a nonexistent or unstable compound. Attempts to isolate pure samples result in the formation of gold(I) iodide and iodine:
"
Au(OH)3,gold hydroxide,"Gold(III) hydroxide, gold trihydroxide, or gold hydroxide is an inorganic compound, a hydroxide of gold, with formula Au(OH)3. It is also called auric acid with formula H3AuO3. It is easily dehydrated above 140 °C to gold(III) oxide. Salts of auric acid are termed aurates.
"
AuTe,gold telluride,"Gold chalcogenides are compounds formed between gold and one of the chalcogens, elements from group 16 of the periodic table: oxygen, sulfur, selenium, or tellurium.
"
Au2O3,gold trioxide,"Gold(III) oxide (Au2O3) is an inorganic compound of gold and oxygen with the formula Au2O3. It is a red-brown solid that decomposes at 298 °C.
"
Au2S,gold sulfide,"Gold(I) sulfide is the inorganic compound with the formula Au2S. It is the principal sulfide of gold. It decomposes to gold metal and elemental sulfur, illustrating the ""nobility"" of gold.
"
Au2S3,gold trisulfide,"Gold(III) sulfide or auric sulfide is an inorganic compound with the formula Au2S3. Auric sulfide has been described as a black and amorphous solid. Only the amorphous phase has been produced, and the only evidence of existence is based on thermal analysis.
"
Au2(SeO4)3,gold triselenate,NO DESCRIPTION
AuF3,gold trifluoride,"Gold(III) fluoride, AuF3, is an orange solid that sublimes at 300 °C. It is a powerful fluorinating agent. It is very sensitive to moisture, yielding gold(III) hydroxide and hydrofluoric acid.
"
AlO,aluminium monoxide,"Aluminium(II) oxide  or aluminium monoxide is a compound of aluminium and oxygen with the chemical formula AlO. It has been detected in the gas phase after explosion of aluminized grenades in the upper atmosphere and in stellar absorption spectra.
"
As4O3,tetraarsenic trioxide,NO DESCRIPTION
As3O4,arsenic tetraoxide,NO DESCRIPTION
AsF3,arsenic trifluoride,"Arsenic trifluoride is a chemical compound of arsenic and fluorine with the chemical formula AsF3. It is a colorless liquid which reacts readily with water.
"
AsF5,arsenic pentafluoride,"Arsenic pentafluoride is a chemical compound of arsenic and fluorine.  It is a toxic, colorless gas. The oxidation state of arsenic is +5.
"
AsH3,arsine,"Arsine (IUPAC name: arsane) is an inorganic compound with the formula AsH3. This flammable, pyrophoric, and highly toxic pnictogen hydride gas is one of the simplest compounds of arsenic. Despite its lethality, it finds some applications in the semiconductor industry and for the synthesis of organoarsenic compounds. The term arsine is commonly used to describe a class of organoarsenic compounds of the formula AsH3−xRx, where R = aryl or alkyl. For example, As(C6H5)3, called triphenylarsine, is referred to as ""an arsine"".
"
AsI3,arsenic triiodide,"Arsenic triiodide is the inorganic compound with the formula AsI3. It is an orange to dark red solid that readily sublimes. It is a pyramidal molecule that is useful for preparing organoarsenic compounds.
"
AsO,arsenic monoxide,NO DESCRIPTION
AsO2,arsenic dioxide,"Arsenic tetroxide is an inorganic compound with the chemical formula As2O4, containing As(III) and As(V), AsIIIAsVO4.
"
AsP,arsenic monophosphide,"Arsenic monophosphide, also called arsenic phosphide, is an inorganic compound with the chemical formula AsP. Containing only arsenic and phosphorus, this material is classified as a binary phosphide as well as an interpnictogen. Ratios of arsenic to phosphorus are not fixed and can vary. Depending on the ratio, the band gap changes.
"
AsP3,arsenic triphosphide,NO DESCRIPTION
As3P,arsenic(III) phosphide,NO DESCRIPTION
AsTl,thallium arsenide,NO DESCRIPTION
As2O3,arsenic trioxide,"Arsenic trioxide is an inorganic compound with the formula As2O3. As an industrial chemical, its major uses include the manufacture of wood preservatives, pesticides, and glass. It is sold under the brand name Trisenox among others when used as a medication to treat a type of cancer known as acute promyelocytic leukemia. For this use it is given by injection into a vein.
"
As2P2,arsenic diphosphide,NO DESCRIPTION
As2O5,arsenic pentoxide,"Arsenic pentoxide is the inorganic compound with the formula As2O5.  This glassy, white, deliquescent solid is relatively unstable, consistent with the rarity of the As(V) oxidation state.  More common, and far more important commercially, is arsenic(III) oxide (As2O3).  All inorganic arsenic compounds are highly toxic and thus find only limited commercial applications.
"
As2S4,arsenic tetrasulfide,NO DESCRIPTION
As2S5,arsenic pentasulfide,"Arsenic pentasulfide is an inorganic compound containing arsenic and sulfur.
"
As2Se,arsenic hemiselenide,NO DESCRIPTION
As2Se3,arsenic triselenide,"Arsenic triselenide is an inorganic chemical compound with the chemical formula As2Se3.
"
As2Se5,arsenic pentaselenide,NO DESCRIPTION
As2I4,arsenic diiodide,"Diarsenic tetraiodide is an inorganic compound of arsenic and iodine. It is a dark red metastable solid.  The compound is a closely related to the better characterized diphosphorus tetraiodide. Identified in the late 19th century with the (accurate) empirical formula AsI2, the compound was assigned the formula (As2I4) several years later.
"
Au2Se3,gold triselenide,NO DESCRIPTION
AlNaO2,sodium aluminate,"Sodium aluminate is an inorganic chemical that is used as an effective source of aluminium hydroxide for many industrial and technical applications. Pure sodium aluminate (anhydrous) is a white crystalline solid having a formula variously given as NaAlO2, NaAl(OH)4 (hydrated), Na2O·Al2O3, or Na2Al2O4. Commercial sodium aluminate is available as a solution or a solid.
Other related compounds, sometimes called sodium aluminate, prepared by reaction of Na2O and Al2O3 are Na5AlO4 which contains discrete AlO45− anions, Na7Al3O8 and Na17Al5O16 which contain complex polymeric anions, and NaAl11O17, once mistakenly believed to be β-alumina, a phase of aluminium oxide.
"
Al(NO2)3,aluminium nitrite,NO DESCRIPTION
AlCl2<F,aluminium chloride fluoride,NO DESCRIPTION
AlClF,aluminium chloride fluoride,NO DESCRIPTION
AlCl,aluminium monochloride,"Aluminium monochloride, or chloridoaluminium is the metal halide with the formula AlCl.  Aluminium monochloride as a molecule is thermodynamically stable at high temperature and low pressure only. This compound is produced as a step in the Alcan process to smelt aluminium from an aluminium-rich alloy. When the alloy is placed in a reactor that is heated to 1,300 °C and mixed with aluminium trichloride, a gas of aluminium monochloride is produced.
"
AlBr3,aluminium tribromide,"Aluminium bromide  is any chemical compound with the empirical formula AlBrx.  Aluminium tribromide is the most common form of aluminium bromide. It is a colorless, sublimable hygroscopic solid; hence old samples tend to be hydrated, mostly as aluminium tribromide hexahydrate (AlBr3·6H2O).
"
AlBr,aluminium monobromide,"Aluminium monobromide is a chemical compound with the empirical formula AlBr.  It forms from the reaction of HBr with Al metal at high temperature.  It disproportionates near room temperature:
"
AlBO3,aluminium borate,NO DESCRIPTION
Ag3PO4,silver phosphate,"Silver phosphate or silver orthophosphate is a light sensitive, yellow, water-insoluble chemical compound composed of silver and phosphate ions of formula Ag3PO4.
"
Ag3I3,silver(III) triiodide,NO DESCRIPTION
Ag3Cl3,silver(III) trichloride,NO DESCRIPTION
Ag3Br3,silver tribromide,NO DESCRIPTION
Ag3Br2,silver dibromide,NO DESCRIPTION
Ag2Te,silver(I) telluride,"Silver telluride (Ag2Te) is a chemical compound, a telluride of silver, also known as disilver telluride or silver(I) telluride. It forms a monoclinic crystal. In a wider sense, silver telluride can be used to denote AgTe (silver(II) telluride, a metastable compound) or Ag5Te3.
"
Ag2SeO4,silver selenate,NO DESCRIPTION
Ag2SeO3,silver selenite,"Silver selenite is an inorganic compound of formula Ag2SeO3.
"
Ag2Se,silver selenide,"Silver selenide (Ag2Se) is the reaction product formed when selenium toning analog silver gelatine photo papers in photographic print toning. The selenium toner contains sodium selenite (Na2SeO3) as one of its active ingredients, which is the source of the selenide (Se2−) anion combining with the silver in the toning process.
"
Ag2SO4,silver sulfate,"Silver sulfate is the inorganic compound with the formula Ag2SO4.  It is a white solid with low solubility in water.
"
Ag2S,silver sulfide,"Silver sulfide is an inorganic compound with the formula Ag2S. A dense black solid, it is the only sulfide of silver. It is useful as a photosensitizer in photography. It  constitutes the tarnish that forms over time on silverware and other silver objects. Silver sulfide is insoluble in most solvents, but is degraded by strong acids. Silver sulfide is a network solid made up of silver (electronegativity of 1.98) and sulfur (electronegativity of 2.58) where the bonds have low ionic character (approximately 10%).
"
AlClO,aluminium chloride oxide,NO DESCRIPTION
AlCl2H,dichloroalumane,NO DESCRIPTION
AlCl3,aluminium chloride,"Aluminium chloride, also known as aluminium trichloride, is an inorganic compound with the formula AlCl3. It forms a hexahydrate  with the formula [Al(H2O)6]Cl3, containing six water molecules of hydration. Both the anhydrous form and the hexahydrate are colourless crystals, but samples are often contaminated with iron(III) chloride, giving them a yellow colour.
"
AlCl2F,aluminium chloride fluoride,NO DESCRIPTION
AlF6Na3,cryolite,"Cryolite (Na3AlF6, sodium hexafluoroaluminate) is an uncommon mineral identified with the once-large deposit at Ivittuut on the west coast of Greenland, mined commercially until 1987.
"
AlF6Li3,lithium hexafluoroaluminate,NO DESCRIPTION
AlF6K3,potassium hexafluoraluminate,NO DESCRIPTION
AlF4Li,lithium tetrafluoroaluminate,NO DESCRIPTION
AlF4K,potassium tetrafluoroaluminate,"Potassium aluminium fluoride (PAF, chemical formula KAlF4) is an inorganic compound.
"
AlF3,aluminium trifluoride,"Aluminium fluoride is an inorganic compound with the formula AlF3. It forms hydrates AlF3·xH2O. Anhydrous AlF3 and its hydrates are all colorless solids. Anhydrous AlF3 is used in the production of aluminium metal. Several occur as minerals.
"
AlF2O,aluminium difluoride oxide,NO DESCRIPTION
AlF2,aluminium difluoride,NO DESCRIPTION
Ag2O,silver(I) oxide,"Silver oxide is the chemical compound with the formula Ag2O.  It is a fine black or dark brown powder that is used to prepare other silver compounds.
"
AlFO,aluminium monofluoride monoxide,NO DESCRIPTION
AlCo,Alumanylidynecobalt,NO DESCRIPTION
AlCl6Na3,sodium hexachloroaluminate,NO DESCRIPTION
AlCl6K3,potassium hexachloroaluminate,NO DESCRIPTION
AlCl4Rb,rubidium tetrachloroaluminate,NO DESCRIPTION
AlCl4Na,sodium tetrachloroaluminate,"Sodium tetrachloroaluminate, also known as natrium chloroaluminate, is a chemical compound with the formula NaAlCl4. It was discovered in the 20th century. It is the sodium salt of the tetrachloroaluminate anion.
"
AlCl4K,potassium tetrachloroaluminate,NO DESCRIPTION
AlCl4Cs,aluminium caesium tetrachloride,NO DESCRIPTION
AlCl3,aluminium trichloride,"Aluminium chloride, also known as aluminium trichloride, is an inorganic compound with the formula AlCl3. It forms a hexahydrate  with the formula [Al(H2O)6]Cl3, containing six water molecules of hydration. Both the anhydrous form and the hexahydrate are colourless crystals, but samples are often contaminated with iron(III) chloride, giving them a yellow colour.
"
AlF,aluminium monofluoride,"Aluminium monofluoride, also known as fluoridoaluminium, is the chemical compound with the formula AlF.  This elusive species is formed by the reaction between aluminium trifluoride and metallic aluminium at elevated temperatures but quickly reverts to the reactants when cooled. Clusters derived from related aluminium(I) halides can be stabilized using specialized ligands.
"
Ag2MoO4,silver molybdate,"Silver molybdate (Ag2MoO4), a chemical compound, is a yellow, cubic crystalline substance often used in glass. Its crystals present two types of electronic structure, depending on the pressure conditions to which the crystal is subjected. At room temperature, Ag2MoO4 exhibits a spinel-type cubic structure, known as β-Ag2MoO4, which is more stable in nature. However, when exposed to high hydrostatic pressure, the tetragonal α-Ag2MoO4 forms as a metastable phase.
"
Ag2F,silver subfluoride,"Silver subfluoride is the inorganic compound with the formula Ag2F. This is an unusual example of a compound where the oxidation state of silver is fractional. The compound is produced by the reaction of silver and silver(I) fluoride:
"
Ag2Cr2O7,silver dichromate,"Silver dichromate is a chemical compound with the formula Ag2Cr2O7. It is insoluble in water and decomposes when treated with hot water. Its anion has a charge of -2.
"
AgClO3,silver chlorate,"Silver chlorate (AgClO3) forms white, tetragonal crystals.  Like all chlorates, it is water-soluble and an oxidizing agent. As a simple metal salt, it is a common chemical in basic inorganic chemistry experiments. It is light-sensitive, so it must be stored in tightly closed dark-coloured containers.
"
AgCl3Cu2,dicopper silver trichloride,NO DESCRIPTION
AgCl,silver chloride,"Silver chloride is an inorganic chemical compound with the chemical formula AgCl. This white crystalline solid is well known for its low solubility in water and its sensitivity to light. Upon illumination or heating, silver chloride converts to silver (and chlorine), which is signaled by grey to black or purplish coloration in some samples. AgCl occurs naturally as the mineral chlorargyrite.
"
AgBrO4,silver perbromate,NO DESCRIPTION
AgBrO3,silver bromate,"Silver bromate (AgBrO3), is a toxic, light and heat-sensitive, white powder.
"
AgBrO2,silver bromite,NO DESCRIPTION
AgBrO,silver hypobromite,NO DESCRIPTION
AgBr,silver bromide,"Silver bromide (AgBr) is a soft, pale-yellow, water-insoluble salt well known (along with other silver halides) for its unusual sensitivity to light. This property has allowed silver halides to become the basis of modern photographic materials. AgBr is widely used in photographic films and is believed by some to have been used for making the Shroud of Turin. The salt can be found naturally as the mineral bromargyrite.
"
AgClO4,silver perchlorate,"Silver perchlorate is the chemical compound with the formula AgClO4. This white solid forms a monohydrate and is mildly deliquescent.  It is a useful source of the Ag+ ion, although the presence of perchlorate presents risks.  It is used as a catalyst in organic chemistry.
"
AgBF4,Silver tetrafluoroborate,"Silver tetrafluoroborate is an inorganic compound with the chemical formula AgBF4. It is a white solid that dissolves in polar organic solvents as well as water.  In its solid state, the Ag+ centers are bound to fluoride.
"
AgClO4,Silver perchlorate,"Silver perchlorate is the chemical compound with the formula AgClO4. This white solid forms a monohydrate and is mildly deliquescent.  It is a useful source of the Ag+ ion, although the presence of perchlorate presents risks.  It is used as a catalyst in organic chemistry.
"
AlH4-,alumanuide ion,NO DESCRIPTION
AuCl3,Gold(III) chloride,"Gold(III) chloride, traditionally called auric chloride, is an inorganic compound of gold and chlorine with the molecular formula Au2Cl6. The ""III"" in the name indicates that the gold has an oxidation state of +3, typical for many gold compounds. It has two forms, the monohydrate (AuCl3·H2O) and the anhydrous form, which are both hygroscopic and light-sensitive solids. This compound is a dimer of AuCl3. This compound has a few uses, such as an oxidizing agent and for catalyzing various organic reactions.
"
Al(OH)3,aluminium hydroxide,"Aluminium hydroxide, Al(OH)3, is found in nature as the mineral gibbsite (also known as hydrargillite) and its three much rarer polymorphs: bayerite, doyleite, and nordstrandite. Aluminium hydroxide is amphoteric, i.e., it has both basic and acidic properties. Closely related are aluminium oxide hydroxide, AlO(OH), and aluminium oxide or alumina (Al2O3), the latter of which is also amphoteric. These compounds together are the major components of the aluminium ore bauxite. Aluminium hydroxide also forms a gelatinous precipitate in water.
"
AlI,aluminium monoiodide,"Aluminium monoiodide is an aluminium(I) compound with the chemical formula 




AlI



{\displaystyle {\ce {AlI}}}

. It is unstable at room temperature due to dismutation:
"
AlI3,aluminium triiodide,"Aluminium iodide  is a chemical compound containing aluminium and iodine.  Invariably, the name refers to a compound of the composition AlI3, formed by the reaction of aluminium and iodine or the action of HI on Al metal.  The hexahydrate is obtained from a reaction between metallic aluminum or aluminum hydroxide with hydrogen iodide or hydroiodic acid.  Like the related chloride and bromide, AlI3 is a strong Lewis acid and will absorb water from the atmosphere.  It is employed as a reagent for the scission of certain kinds of C-O and N-O bonds. It cleaves aryl ethers and deoxygenates epoxides.
"
